Job Title,Company Name,Company Location,Job Type,Posted date,Experience,Requirements
AI Data Science and Machine Learning Instructor,CLS Learning Solutions,"Dokki, Giza, Egypt",Part Time,2024-09-14,Experienced,Training/Instructor · Machine Learning · AI · Deep Learning Data Science · Python · Natural Language Processing · Neural Networks · Training · Teaching
Data Annotation Team Lead,Eg Insurtech,"Cairo, Egypt",Full Time,2024-09-14,Experienced,IT/Software Development Computer Science data labeling · English · Skills · Software Engineering #data · Artificial Intelligence
Senior Data Analyst,Al Ahly capital holding Al Ahly Tamkeen,"Zamalek, Cairo, Egypt",Full Time,2024-09-14,Experienced,IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI Computer Science Data · analytical · Information Technology (IT) · Reporting
Data Analyst,Lecico Egypt,"Alexandria, Egypt",Full Time,2024-09-14,Experienced,IT/Software Development · Analyst/Research · Analyst Data Analysis · Information Technology (IT) Science · English Data Analyst Computer Science · Analysis
Administrative Assistant,AGCO,"New Cairo, Cairo, Egypt",Full Time,2024-09-04,Entry Level,Administration · Customer Service/Support · Marketing/PR/Advertising · Administration · administrative · Admin · Communication · Customer Service · Customer Support · Customer Care
Customer Service Representative - B2B Account (Etisalat UAE),Etisalat Egypt,"Maadi, Cairo, Egypt",Full Time,2024-08-29,Entry Level,Administration · Customer Service/Support · Operations/Management · Computer Skills · chat · Customer Care · Customer Service · Customer Support · Mail · English
Senior Data Analyst,Goldentex,"10th of Ramadan City, Sharqia, Egypt",Full Time,2024-09-14,Experienced,IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Analysis Computer Science Data Analysis · Engineering · Information Technology (IT) · Power BI
Data Analyst,Carina Wear,"New Cairo, Cairo, Egypt",Full Time,2024-09-14,Entry Level,IT/Software Development · Analyst/Research · Engineering - Telecom/Technology Data Analysis · Microsoft Power BI · business · Analysis Computer Science Big Data Analytics · Power BI
Data Analyst,Options,"Cairo, Egypt",Full Time,2024-09-14,Experienced,IT/Software Development · Marketing/PR/Advertising · Analyst/Research · Analysis · Analyst Computer Science · Python · SQL · AWS · Information Technology (IT)
"Science Teacher ( Chemistry, Biology and Physics)(American Curriculum)",Creatives International Schools ( CIS ),"10th of Ramadan City, Sharqia, Egypt",Part Time,2024-09-14,Experienced,R&D/Science · Education/Teaching · Biology · Education Science · Teacher · Teaching
Senior Power PI Developer,Technosignage,"Heliopolis, Cairo, Egypt",Part Time,2024-08-20,Experienced,IT/Software Development · BI · Business Intelligence Data Modeling · ETL · Power BI · Software Engineering · SQL · Tableau Computer Science
BI Data Analyst,Confidential,"Nasr City, Cairo, Egypt",Full Time,2024-09-14,Entry Level,IT/Software Development · Analyst/Research · Analysis · BI Analyst Data Analyst · excel · Power BI · Python Data Analysis · Information Technology (IT)
Data Analyst,EGEC,"Haram, Giza, Egypt",Full Time,2024-09-14,Experienced,Accounting/Finance · Analyst/Research · Engineering - Other · analytical · Analysis Computer Science · Reporting Data Analysis · Communication skills
Data Quality Analyst,The Address Investments for Real Estate Consultancy,"New Cairo, Cairo, Egypt",Full Time,2024-09-14,Experienced,IT/Software Development · Quality · Engineering - Telecom/Technology · Analysis · Analyst Computer Science Data Data Analysis data quality · Information Technology (IT)
Operations,3D Diagnostix,"Maadi, Cairo, Egypt",Full Time,2024-08-19,Entry Level,R&D/Science · Logistics/Supply Chain · Operations/Management · Operations Management Data Science · AI · Artificial Intelligence (AI) Computer Science · 3D Design · Logistics
Data Collector,Antolino Impex Trade,"New Cairo, Cairo, Egypt",Full Time,2024-08-18,Experienced,Other Data Collection data collector · Raw Materials · Outdoor Sales · Sales Field
Senior Power BI Developer,BI-Technologies,"New Cairo, Cairo, Egypt",Full Time,2024-09-14,Experienced,IT/Software Development · Analyst/Research · Engineering - Telecom/Technology Computer Science · Power BI · SSRS · BI · SQL · Microsoft Power BI · Engineering
IOT Process optimization consultant / 6 Months contract,Efada Technology,"6th of October, Giza, Egypt",Part Time,2024-09-14,Experienced,Engineering - Construction/Civil/Architecture · Hospitality/Hotels/Food Services · IT/Software Development Data Science · phd · operations reasearch · Customer Operations Performance Centre · Research · MBA · Software Engineering
IPC Officer,Confidential,"Badr City, Cairo, Egypt",Full Time,2024-09-14,Experienced,Quality · Pharmaceutical · IPC · Pharmaceutical · Analysis · Compliance Data Analysis Science
iOS Developer,Madar Soft,"Fleming, Alexandria, Egypt",Full Time,2024-09-14,Experienced,IT/Software Development · Engineering - Telecom/Technology · RESTful · RESTful APIs · Software Development Computer Science Core Data · Git · iOS · Objective-C
iOS Mobile Developer,qTech.,"Mansoura, Dakahlia, Egypt",Full Time,2024-09-14,Experienced,IT/Software Development · Engineering - Telecom/Technology · Software Development · Objective-C · Java · OpenGL · Mobile Development Computer Science · Computer Engineering · Software Engineering
Senior Java Developers,Sos,"Cairo, Egypt",Full Time,2024-09-03,Experienced,IT/Software Development · Java · Spring Boot · Microservice Architecture · MySQL · kafka · Redis · WebSocket · Programming · Software Development
IT Manager,Confidential,"Nasr City, Cairo, Egypt",Full Time,2024-09-14,Manager,IT/Software Development · Odoo · IT · ERP · Project Management · Computer Engineering · Networks · IT Infrastructure Data Security · Firewalls
IT Application Development and Support Engineer,Confidential,"Sheikh Zayed, Giza, Egypt",Full Time,2024-09-01,Experienced,Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · software support engineer · Application Development · Software Development · ERP Applications · powerschool · Odoo ERP · Odoo Development
Assistant Business Intelligence Manager,SAVOLA,"Nasr City, Cairo, Egypt",Full Time,2024-08-29,Experienced,IT/Software Development · Engineering - Telecom/Technology · FMCG · Database · BI · Business Intelligence · Sales · BackOffice · HH · Information Technology (IT)
Senior JavaFX Developer,Wakeb Data,"Mohandessin, Giza, Egypt",Full Time,2024-09-04,Experienced,Business Development · IT/Software Development · Engineering - Telecom/Technology · Agile Computer Science · Design · Development · Information Technology (IT) · MySQL · Programming
Senior Apex Oracle Developer,Dorra Group,"Sheikh Zayed, Giza, Egypt",Full Time,2024-09-04,Experienced,IT/Software Development Computer Science · CSS · Database · Information Technology (IT) · Oracle Database · Software Engineering · SQL · Software · Oracle
Chemist,Al Ahly Medical Company,"Mokattam, Cairo, Egypt",Full Time,2024-09-05,Entry Level,R&D/Science · Pharmaceutical · Chemistry Science · Healthcare · Pharmaceutical
Mechanical Production Engineer,Confidential,"Badr City, Cairo, Egypt",Full Time,2024-09-01,Experienced,Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical · 3D · Design · Manufacturing · Mechanical Engineering · Mechanical · technical · Engineering
Information Technology Manager,Sky Restaurants,"Sheikh Zayed, Giza, Egypt",Full Time,2024-09-04,Manager,IT/Software Development · Computer Engineering · Information Technology (IT) · Project Management · Information technology · Technology · technical · Operations · computer Computer Science
Flutter Developer,Fiddah LLC,"San Stefano, Alexandria, Egypt",Full Time,2024-09-02,Experienced,IT/Software Development · flutter · flutter development · Software Development Computer Science · Development · Frontend · OOP · Information Technology (IT)
AX Microsoft Dynamics Developer,Sky Holding,"Cairo, Egypt",Full Time,2024-09-03,Entry Level,IT/Software Development Computer Science · Programming · Development · Dynamics AX · Information Technology (IT) · Ax · D365 · Dynamics
Product Owner,WUZZUF,"Cairo, Egypt",Full Time,2024-09-05,Entry Level,Creative/Design/Art · Project/Program Management · Engineering - Telecom/Technology · Communication skills Computer Science · Engineering · English · Information Technology (IT) · Product · Product Management
Quality Assurance Specialist,Al-Amal Al-sharif For Plastic,"10th of Ramadan City, Cairo, Egypt",Full Time,2024-09-04,Experienced,R&D/Science · Manufacturing/Production · Quality · Communication skills · Quality Assurance · Manufacturing · ISO Science
Finished Product Section Head,Rameda,"6th of October, Giza, Egypt",Full Time,2024-09-05,Experienced,Manufacturing/Production · Quality · Pharmaceutical · QC · Pharmaceutical · Quality Control · Communication skills Sciences Pharmaceutical Sciences · quality
Senior Network Engineer,Confidential,"Heliopolis, Cairo, Egypt",Full Time,2024-09-05,Experienced,IT/Software Development · Engineering - Telecom/Technology · CCNP · Cisco Computer Science · Information Technology (IT) · Network · Networking · Vmware · Troubleshooting
Associate Product Manager,WUZZUF,"Cairo, Egypt",Full Time,2024-09-04,Entry Level,Creative/Design/Art · Project/Program Management · Engineering - Telecom/Technology · Communication skills Computer Science · Engineering · English · Information Technology (IT) · Product · Product Management
Senior Backend Developer,Bnaia,"Maadi, Cairo, Egypt",Full Time,2024-09-05,Experienced,Business Development · IT/Software Development · Engineering - Telecom/Technology Computer Science · CSS · Git · Software Development · HTML · Information Technology (IT) · JavaScript
Sustainability & Energy Management Engineer,ABCO Group,"Bourj Alarab, Alexandria, Egypt",Full Time,2024-09-04,Entry Level,R&D/Science · Quality · Engineering - Other · Engineering Environmental Science · Energy Management · Chemical Engineering · sustainability · CSR · Quality Control
R&D Specialist,Nano Shield,"Maadi, Cairo, Egypt",Full Time,2024-08-26,Experienced,R&D/Science · Pharmaceutical · Biotechnology · Chemistry · Pharmacy · R&D · Research Science
Data Entry,Data Science,"Hadayek October, Giza, Egypt",Freelance / Project,2024-09-14,Entry Level,Accounting/Finance · Administration Data Entry · Administration Data Database · excel · typing skills · Typing · Accounting
E-Commerce Sales Representative,Confidential,"Cairo, Egypt",Full Time,2024-09-02,Experienced,Customer Service/Support · Marketing/PR/Advertising · Sales/Retail · Account Management · Communication · Communication skills · CRM · Customer Service · E-Commerce · Sales
Cost Control Section Head,GIECO,"Alexandria, Egypt",Full Time,2024-09-05,Experienced,Accounting/Finance · Logistics/Supply Chain · Quality · Engineering · Leadership · Management · MBA · Project Management · quality · Quality Assurance
Oracle Fusion Financial Technical Consultant,Just HR,"New Cairo, Cairo, Egypt",Full Time,2024-09-02,Experienced,Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · ERP · Oracle · Information Technology (IT) Computer Science · Oracle Fusion · IFRS
Android Developer,Syad Tech,"Cairo, Egypt",Full Time,2024-08-26,Experienced,IT/Software Development · Android · Android SDK · APIs Computer Science · Engineering · Information Technology (IT) · Kotlin · RESTful · Software
Database Administrator,Confidential,"Cairo, Egypt",Full Time,2024-08-28,Experienced,Administration · IT/Software Development · PostgreSQL · Performance Tuning · Database Administrator · Database Computer Science · Database Design · Design · Information Technology (IT)
Senior Backend Laravel Developer (Experienced),Road9 Media,"Maadi, Cairo, Egypt",Full Time,2024-08-27,Experienced,IT/Software Development · Engineering - Telecom/Technology · Development · Laravel · Information Technology (IT) · RESTful · PHP Computer Science · Database · MySQL
Back End Developer,FirstTech,"Nasr City, Cairo, Egypt",Full Time,2024-09-06,Experienced,IT/Software Development · Engineering - Telecom/Technology · Back End Developer · Back End · Information Technology (IT) · .Net Framework · ASP.NET Core · ASP.Net Web API · C# Computer Science
Odoo Implementer,Ibn Sina Pharma,"Maadi, Cairo, Egypt",Full Time,2024-09-01,Experienced,IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Odoo · ERP · Odoo Modules Computer Science · Functional · inventory · Business Administration
junior PHP,Al Soug-Cashi,"Giza, Egypt",Full Time,2024-09-01,Entry Level,R&D/Science · Business Development · PHP · Agile · Development Computer Science · English · Software Development
Backend Developer,Confidential,"Maadi, Cairo, Egypt",Full Time,2024-09-01,Experienced,IT/Software Development · Engineering - Telecom/Technology · Backend developer · Software Engineering · Software Development · Architecture · Automation · backend · Code Versioning · computer
Senior Frontend Developer,Tenjaz,"Sheraton, Cairo, Egypt",Full Time,2024-09-05,Experienced,IT/Software Development · Engineering - Telecom/Technology · Software Development · Software Engineering · Computer Engineering Computer Science · Communication skills · Vue.js · Frontend · Js
Tech Lead (Software Architecture),Green Valley,"Nasr City, Cairo, Egypt",Full Time,2024-09-03,Manager,IT/Software Development · Engineering - Telecom/Technology · JavaScript · Node.js · Python · Angular Computer Science · Software Architecture · Software Development
IT Help Desk,Selah ElTelmeez For Publishing & printing,"Obour City, Cairo, Egypt",Full Time,2024-09-04,Entry Level,IT/Software Development · Engineering - Telecom/Technology · computer · Computer Engineering · CCNA Computer Science · Engineering · Hardware · Help desk · Information Technology (IT)
SR. Procurement Specialist (Chemical Background),Floortec,"6th of October, Giza, Egypt",Full Time,2024-09-04,Experienced,Logistics/Supply Chain · Manufacturing/Production · Purchasing/Procurement · Purchasing · Procurement · Supply Chain · Vendor · Pricing · Logistics · Chemistry
System Administrator,Pini Group,"Heliopolis, Cairo, Egypt",Full Time,2024-09-02,Experienced,IT/Software Development · Communication Computer Science · Information Technology (IT) · System Administration · System administrator · Networks · Engineering
IT Administration Team Leader,GET Group- Egypt,"Sheraton, Cairo, Egypt",Full Time,2024-09-02,Manager,IT/Software Development · Information Technology (IT) Computer Science · IT · Cisco · Software Development · Active Directory · DNS Science · Security
Microbiologist,Marbella For Food Industry,"6th of October, Giza, Egypt",Full Time,2024-09-02,Experienced,Operations/Management · Manufacturing/Production · Quality · ISO · Microbiology · Pharmacy · Quality Assurance Science
Senior Java Developer,Egabi FSI,"Sheraton, Cairo, Egypt",Full Time,2024-08-29,Experienced,IT/Software Development · Engineering - Telecom/Technology · Engineering · Git · Information Technology (IT) · Java · OOP · Software Computer Science · Software Engineering
Senior PHP Developer (Laravel),Our Education,"Nasr City, Cairo, Egypt",Full Time,2024-09-01,Experienced,IT/Software Development · Engineering - Telecom/Technology · PHP Computer Science · Laravel · HTML5 · CSS3 · MVC · Programming · javaScript
Senior Backend Developer,WUZZUF,"Maadi, Cairo, Egypt",Full Time,2024-09-01,Experienced,IT/Software Development · Engineering - Telecom/Technology · backend · Backend developer Computer Science · developer · Information Technology (IT) · Software Development · senior · Software Engineering
Mobile Application Developer - Flutter,Confidential,"Cairo, Egypt",Full Time,2024-09-04,Experienced,IT/Software Development · Engineering - Telecom/Technology · flutter · Github · API · REST · Mobile Development Computer Science · Frameworks · Information Technology (IT)
Principal Full Stack .Net Core,ElDawlya Company,"Maadi, Cairo, Egypt",Full Time,2024-09-02,Experienced,IT/Software Development · Engineering - Telecom/Technology · MVC · AJAX · Software Development · ERP · Reporting tools · CSS · XML · Design
Junior IT Specialist,B.C.G,"New Nozha, Cairo, Egypt",Full Time,2024-09-04,Entry Level,IT/Software Development · CCNA · Communication · Computer Engineering Computer Science · Hardware · Information Technology (IT) · IT · Security · Software
Recruitment Team Lead,Fawry for Banking Technology and Electronic Payments S.A.E,"Smart Village, Giza, Egypt",Full Time,2024-09-05,Experienced,Human Resources · Recruitment · Human Resources · Leadership · Software Computer Science · Information Technology (IT)
IT Manager,Ravin,"10th of Ramadan City, Cairo, Egypt",Full Time,2024-09-05,Manager,Administration · Information Technology (IT) Computer Science · Communication · Computer Engineering
Machine Learning Engineer,Afaqy,"Maadi, Cairo, Egypt",Full Time,2024-08-22,Experienced,IT/Software Development Computer Science · Machine Learning · LLM · Automation · Python
Back End Developer,Confidential,"Maadi, Cairo, Egypt",Full Time,2024-08-28,Entry Level,IT/Software Development · Engineering - Telecom/Technology · PHP Programming · Laravel Framework · javaScript Frameworks · Android · iOS · Front-End Development · Web Applications · API
IT Help Desk Specialist,FlexFilms Egypt,"6th of October, Giza, Egypt",Full Time,2024-08-31,Entry Level,IT/Software Development · computer · English · Help desk · Software · Information technology · Information Technology (IT) · Technology Computer Science · Communication
Backend Developer,nichepharma,"Sheikh Zayed, Giza, Egypt",Internship,2024-08-28,Student,IT/Software Development · Engineering - Telecom/Technology Computer Science · back-end · MongoDB · Software Development · RESTful · JavaScript
Oracle ADF Developer,Egabi FSI,"Sheraton, Cairo, Egypt",Full Time,2024-08-29,Experienced,IT/Software Development · Engineering - Telecom/Technology · ADF Computer Science · Engineering · Information Technology (IT) · Java · OOP · Oracle · REST
Oracle Database Administrator,Egabi FSI,"Sheraton, Cairo, Egypt",Full Time,2024-08-29,Experienced,IT/Software Development · Engineering - Telecom/Technology · Administration Computer Science · database administration · Database · Information Technology (IT) · Oracle · OCP · OCA
Senior Full Stack Developer,PACK ‘N’ MOVE LOGISTICS,"Heliopolis, Cairo, Egypt",Full Time,2024-08-25,Experienced,IT/Software Development · Angular Computer Science · CSS · Full Stack · Software Development · HTML · Information Technology (IT) · Java · JavaScript
Senior Software Tester,qTech.,"Mansoura, Dakahlia, Egypt",Full Time,2024-08-29,Experienced,IT/Software Development · Quality · Engineering - Telecom/Technology · Engineering · Project Management · Information Systems · Information Technology (IT) Computer Science · Computer Engineering · Software
System Administrator,Pharos University in Alexandria,"Smouha, Alexandria, Egypt",Full Time,2024-09-02,Experienced,Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · IT · Information Technology (IT) · System Administration · System administrator · Security · Vmware
IT Administrator,Femto Trade,"Dokki, Giza, Egypt",Full Time,2024-09-02,Entry Level,IT/Software Development · Information Technology (IT) · IT · System Administration · Engineering Computer Science
PLM Solution Consultant,Promech Engineering,"Maadi, Cairo, Egypt",Full Time,2024-09-02,Experienced,IT/Software Development · Engineering - Telecom/Technology Computer Science · Information Technology (IT) · Customer Service · PLM · Solutions · Management
Software Quality Control Engineer,Expert Apps,"Maadi, Cairo, Egypt",Full Time,2024-08-29,Entry Level,IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Assurance · Performance Testing · Performance · Automation Testing · Integration · Functional Testing · Testing
Senior Projects Coordinator,Ibn Sina Pharma,"New Cairo, Cairo, Egypt",Full Time,2024-08-29,Experienced,IT/Software Development · Project/Program Management Computer Science · Engineering · Project Management · Information Technology (IT) · Agile · ERP · IT · Management
Web Developer,Union Group,"Obour City, Cairo, Egypt",Full Time,2024-08-28,Experienced,IT/Software Development · Software Development Computer Science · HTML · Information Technology (IT) · jQuery · JSON · SQL · Web Development
IOS App Developer,Syad Tech,"Cairo, Egypt",Full Time,2024-08-28,Experienced,IT/Software Development · Development Computer Science · Information Technology (IT) · Engineering · iOS · Mobile Development · Native · Software Development · Swift
Security System Engineer,Share Technologies,"New Cairo, Cairo, Egypt",Full Time,2024-08-22,Experienced,Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Communication · computer · Computer Engineering Computer Science · Engineering · Information Security · Information Technology (IT)
Product Owner,waffarha.com,"Downtown, Cairo, Egypt",Full Time,2024-08-25,Experienced,IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Information Technology (IT) · Agile · Communication Computer Science · Software Development · English computer science
Medical Sales Representative,Saudi German Hospital,"Agami, Alexandria, Egypt",Full Time,2024-08-27,Experienced,Medical/Healthcare · Sales/Retail · Sales · Sales Target · sales skills · business · Experience · Pharmacy Science · Vet
Application Support Engineer,Jade Textile Egypt,"Bourj Alarab, Alexandria, Egypt",Full Time,2024-08-27,Experienced,IT/Software Development · Engineering - Telecom/Technology · Application Support Computer Science · Engineering · Information Technology (IT) · ITIL · Software · computer · Customer Support
Quality Assurance Manager,Wham Clinics,"Alexandria, Egypt",Full Time,2024-08-21,Manager,Medical/Healthcare · Quality · Pharmaceutical · Pharmaceutical · quality Science · Quality Control · Quality Assurance
Storage and Backup System Engineer,Share Technologies,"New Cairo, Cairo, Egypt",Full Time,2024-08-22,Experienced,Engineering - Telecom/Technology · Backup · Backup Solutions · Computer Engineering Computer Science · Engineering · Information Technology (IT) · Linux · Networking · Operating Systems
Flutter Developer,nichepharma,"Sheikh Zayed, Giza, Egypt",Internship,2024-08-28,Student,IT/Software Development · Engineering - Telecom/Technology Computer Science · Design · Design Patterns · Cross-platform · OOP · Software Architectures · Software Development · flutter
Senior Backend Developer,FirstTech,"Nasr City, Cairo, Egypt",Full Time,2024-08-27,Experienced,IT/Software Development · .Net Framework · C# Computer Science · Software Development · Information Technology (IT)
Medical stapler Section Head,Surgitech,"Mokattam, Cairo, Egypt",Full Time,2024-08-29,Entry Level,Medical/Healthcare · Sales/Retail · Pharmaceutical · Medical · Pharmacy · Pharmaceutical · Sales · Vet Science · Veterinary
Senior Site Engineer,Eleven Eleven Property Management,"New Cairo, Cairo, Egypt",Full Time,2024-08-28,Experienced,Engineering - Construction/Civil/Architecture · Civil Engineering · Construction · Communication · Site · AutoCAD · Civil Computer Science · Design · Engineering
Quality Control Specialist (Herbs and Spices),Glamour Export,"Heliopolis, Cairo, Egypt",Full Time,2024-08-22,Experienced,Quality · Quality Control · Quality Assurance · food safety · Food Science
MS365 Senior Engineer,B-Link Technologies,"Cairo, Egypt",Full Time,2024-08-28,Experienced,Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology Computer Science · Engineering · English · Information Technology (IT)
Front End Developer,nichepharma,"Sheikh Zayed, Giza, Egypt",Internship,2024-08-28,Student,IT/Software Development · Engineering - Telecom/Technology · Bootstrap · Angular Computer Science · CSS3 · front-end · Git · HTML5 · JavaScript
Medical Representative - Nasr City - New Cairo,PRT Scientific Office,"New Cairo, Cairo, Egypt",Full Time,2024-08-25,Entry Level,Medical/Healthcare · Sales/Retail · Pharmaceutical · Pharmacy · Veterinary · Medicine · Sales · Pharmaceutical · Cosmetics Science
System Administrator,Skywalk Developments,"Sheikh Zayed, Giza, Egypt",Full Time,2024-08-25,Experienced,Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · System administrator · system Computer Science · Administrator · System Administration · Engineering
Senior software business analyst,SURE International Technology,"Nasr City, Cairo, Egypt",Full Time,2024-08-22,Experienced,IT/Software Development · Analyst/Research · Analysis · Business Analysis · Communication skills · SQL · Software Development Computer Science · business · Technical Writing
System Reliability Engineer,GET Group- Egypt,"Cairo, Egypt",Full Time,2024-08-20,Experienced,IT/Software Development Computer Science · Computer Engineering · Information Technology (IT) · System engineer · DevOps · Vmware · Linux · Azure · Automation
Research Developer,qTech.,"Mansoura, Dakahlia, Egypt",Full Time,2024-08-22,Experienced,R&D/Science · Business Development · Business Development Computer Science · Software Engineering · Software
Senior Copywriter- Alexandria,Caduceus Lane,"San Stefano, Alexandria, Egypt",Full Time,2024-08-24,Experienced,Writing/Editorial · Communication skills · Software Development Science · English · Editing · Content Computer Science · Marketing · Software Engineering
Database Administrator,Alexandria Business Association- SMEs Project,"Alexandria, Egypt",Full Time,2024-08-19,Experienced,Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology Computer Science · Database · Database Administrator · Information Technology (IT) · Oracle · SQL · Administrator
R&D Formulation Specialist - KSA,Confidential,"Rabigh, Saudi Arabia",Full Time,2024-08-18,Experienced,R&D/Science · Analyst/Research · Pharmaceutical · Chemistry · Pharmaceutical · Quality Control · quality · GMP · Product Development · R&D
IT Engineer,Confidential,"6th of October, Giza, Egypt",Full Time,2024-08-26,Entry Level,Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology Computer Science · Information Technology (IT) · Software Development · Engineering · English · Computer · Communication Skills
PHP Laravel Full-Stack Developer,Confidential,"Heliopolis, Cairo, Egypt",Full Time,2024-08-25,Experienced,IT/Software Development · PHP Laravel · Stack Computer Science · Software Development · Full-Stack · blade · Front-End Development · Back-End Development
Enterprise Vault System Engineer,Share Technologies,"New Cairo, Cairo, Egypt",Full Time,2024-08-22,Experienced,IT/Software Development · CCNA Computer Science · DNS · Engineering · Information Technology (IT) · Linux · MCSA · MCSE · Microsoft
Quality Assurance Specialist,Logistica,"6th of October, Giza, Egypt",Full Time,2024-08-19,Experienced,Quality · Quality Control · QMS · GMP · English · Quality Assurance · quality Science · Pharmaceutical
R&D Formulation Specialist,APEX Pharma,"Badr City, Cairo, Egypt",Full Time,2024-09-14,Experienced,R&D/Science · Analyst/Research · Pharmaceutical · Pharmaceutical · Research · Formulation · English · Microsoft Office · Pharmacy Science
Database Developer,KazaTech Integrated Solutions,"Cairo, Egypt",Full Time,2024-08-20,Experienced,IT/Software Development · Engineering - Telecom/Technology · Database Computer Science · Design · SQL Server · PL/SQL · PL · Information Technology (IT) · SQL
Javascript Engineer,Constructor,"San Francisco, United States",Full Time,2024-08-21,Experienced,IT/Software Development · Engineering - Telecom/Technology · Software Development · engineer · Integrations · JavaScript Computer Science · CSS · Design · Front end
IT Manager,Wham Clinics,"Alexandria, Egypt",Full Time,2024-08-22,Manager,IT/Software Development · Computer Engineering Computer Science · Information Technology (IT) · computer · Communication skills · Troubleshooting · Project Management · Administration · Business Administration
Junior Data Scientist (Remote),Kreativstorm,"Tabuk, Saudi Arabia",Full Time,2024-09-06,Entry Level,IT/Software Development · Analyst/Research · Engineering - Telecom/Technology Computer Science · Python · Information Technology (IT) · SQL Data Science Data Analysis · Java
Senior QA Engineer,Keys Group Services,"Cairo, Egypt",Full Time,2024-08-22,Experienced,IT/Software Development · Engineering - Telecom/Technology · Automation Computer Science · Information Technology (IT) · PHP · QA · Quality Assurance · Testing · Selenium
Health And Safety Engineer,Scib Paints,"6th of October, Giza, Egypt",Full Time,2024-08-21,Entry Level,Operations/Management · Manufacturing/Production · Engineering - Mechanical/Electrical · Electrical Engineering · Health and Safety · HSE · Mechanical Engineering · Safety Science · Engineering
Senior Backend Developer PHP / Laravel,Sulfah,"Maadi, Cairo, Egypt",Full Time,2024-08-22,Experienced,IT/Software Development · Computer Engineering Computer Science · PHP · Software · Software Development
